# Task 2D: periodicity check on the residual correlation floor (follow-up to
# Task 2C). Single stacked table, discriminated by the 'table' column:
#
#   table='acf_long'      : per (variant, layer), lag k=1..56 -- n_pairs,
#                           flag_low_n (n_pairs<80), acf (point estimate,
#                           mean similarity over original-adjacent valid
#                           pairs), acf_ci95_lo/hi (block=64 adjacency-
#                           preserving moving-block bootstrap, 1000 resamples).
#   table='diurnal'       : per (variant, layer), bin_label in
#                           {0-6h,6-12h,12-18h,18-24h} = (hour-of-day(t+k) -
#                           hour-of-day(t)) mod 24, pooled over all valid pairs
#                           at lags 1-56. bin_mean_sim, bin_n_pairs.
#   table='weekly'        : per (variant, layer), bin_label in {0d..6d} =
#                           (dow(t+k) - dow(t)) mod 7, pooled over all valid
#                           pairs at lags 1-56. bin_mean_sim, bin_n_pairs.
#   table='floor_summary' : per (variant, layer) -- floor_lag12_16 (mean ACF
#                           lags 12-16, recomputed here, exact match to Task
#                           2C's 'floor' column), floor_mid_19_25 (lags 19-25,
#                           between-band), floor_far_26_32 (lags 26-32, weekly
#                           recurrence band, ~168h/dt=29.26 lags), each with
#                           block=64 bootstrap 95% CI; n_pairs_*_min = minimum
#                           n_pairs across the lags in that band.
#
# variants: per_month_incl / detrended = layer-centroid variants from Task 2C
#   (per-month-centered / linear-detrended), 3 layers, n=210 rows, dt=5.7405h,
#   cosine similarity. phi_t_detrended = comparison aggregate scalar (Task 2
#   Analysis C linearly-detrended phi_t on its regular 6h grid, n=225,
#   layer='aggregate'); 'similarity' = standardized-product z(t)*z(t+k), whose
#   lag-mean is the standard biased-autocovariance ACF estimator (cosine
#   similarity is undefined for a 1-d scalar).
#
# Bootstrap: single block=64 (smallest multiple of 8 exceeding lag 56; a block
# of length Lb can only contain pairs up to lag Lb-1, so block=24 from Task 2C
# cannot reach lag 56) adjacency-preserving moving-block bootstrap, 1000
# resamples, fixed seed = 42+offset (see floor_summary.boot_seed; offsets
# 300-302/310-312/320, distinct from Tasks 2B/2C). block=64 (Lb-1=63>=56)
# covers every lag 1-56, superseding Task 2C's block=8 for the short lags too.
table,variant,layer,lag,n_pairs,flag_low_n,acf,acf_ci95_lo,acf_ci95_hi,bin_label,bin_mean_sim,bin_n_pairs,dt_hours,n_series_rows,floor_lag12_16,floor_lag12_16_ci95_lo,floor_lag12_16_ci95_hi,floor_mid_19_25,floor_mid_ci95_lo,floor_mid_ci95_hi,floor_far_26_32,floor_far_ci95_lo,floor_far_ci95_hi,n_pairs_floor_min,n_pairs_mid_min,n_pairs_far_min,boot_seed,n_boot,boot_block
acf_long,per_month_incl,mid,18.0,149.0,False,0.0524799042661813,0.029942844403240434,0.06581540190320695,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,19.0,147.0,False,0.032087138778178675,0.009546388395709513,0.059701489722849,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,20.0,145.0,False,0.02791722839664421,0.0032773454651941654,0.03598190390460537,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,21.0,143.0,False,0.009441313677891309,-0.019938192150379428,0.027910634780679417,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,22.0,141.0,False,0.014135012994544597,-0.021270731947561097,0.06219059914860999,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,23.0,139.0,False,0.018240288220494134,-0.02553556534419493,0.0739892804927499,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,24.0,137.0,False,0.012644325577014772,-0.010325883020767623,0.04923857316325292,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,25.0,135.0,False,0.0005670025848200168,-0.026490751822973644,0.03872685457132709,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,26.0,133.0,False,0.010700042592627657,-0.03495711356590814,0.08096447081557591,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,27.0,131.0,False,0.0025151486700325442,-0.040132952653504014,0.05194563466814784,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,28.0,129.0,False,0.017122806210876727,-0.035483466626750226,0.07868823531888626,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,29.0,127.0,False,-0.013734062582828012,-0.052359141204403895,0.043334928747707675,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,30.0,125.0,False,-0.0003805004373931502,-0.044532637869082195,0.06886832946786456,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,31.0,123.0,False,0.004154899128175537,-0.04976455224727832,0.06707877433175148,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,32.0,121.0,False,-0.011467687442134477,-0.07517757540563592,0.06549356383309707,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,33.0,119.0,False,-0.019353656453825804,-0.07289981267878261,0.0490875457442305,,,,,,,,,,,,,,,,,,,,
acf_long,per_month_incl,mid,34.0,117.0,False,-0.012913396860878916,-0.07865706179443921,0.07774595337809698,,,,,,,,,,,,,,,,,,,,
