step_i,ts_from,ts_to,month_from,month_to,is_boundary,global_drift,adjacency,residual_drift_surface,raw_drift_surface,ratio_resid_raw_surface,residual_drift_mid,raw_drift_mid,ratio_resid_raw_mid,residual_drift_residue,raw_drift_residue,ratio_resid_raw_residue
40,2026-04-14 19:17:22.625382+00:00,2026-04-15 02:32:31.062457+00:00,2026-04,2026-04,False,0.05063242619074743,original,0.07105800099685679,0.08606431419956921,0.8256383805265071,0.07267392997181917,0.08831894876165304,0.8228577331456334,0.0775774303710339,0.09398203578223074,0.8254495630504476
41,2026-04-15 02:32:31.062457+00:00,2026-04-15 07:49:22.452699+00:00,2026-04,2026-04,False,0.049128675103354086,original,0.07350176727273908,0.09178343558949106,0.8008173457515989,0.06970970432049593,0.07648575932180643,0.9114076259241816,0.06905338027942394,0.08942558157246414,0.7721882157788148
42,2026-04-15 07:49:22.452699+00:00,2026-04-15 13:25:43.054667+00:00,2026-04,2026-04,False,0.05249747861536895,original,0.06846832458017561,0.0849284772605709,0.8061880630463497,0.06532547492940845,0.08305242111009245,0.7865571413362464,0.05929516974665806,0.08141652223439316,0.7282940626713447
43,2026-04-15 13:25:43.054667+00:00,2026-04-15 19:19:35.460064+00:00,2026-04,2026-04,False,0.04496617959433489,original,0.06644732476212858,0.07510125562535717,0.8847698245366395,0.06938382240250546,0.08221949849560727,0.8438852543744526,0.0665763816027007,0.0856002664794846,0.7777590460966233
44,2026-04-15 19:19:35.460064+00:00,2026-04-16 02:39:10.700490+00:00,2026-04,2026-04,False,0.06034412242196477,original,0.06993735335598691,0.09125038632552196,0.7664335042538448,0.07635855012560662,0.10854364957546107,0.703482427799897,0.07579502450806498,0.08533834565223308,0.8881707739793948
45,2026-04-16 02:39:10.700490+00:00,2026-04-16 07:47:42.918058+00:00,2026-04,2026-04,False,0.0532439200100986,original,0.06673338498214863,0.0872911664980787,0.7644918456166747,0.06470928286694683,0.08441742752539826,0.7665393836773581,0.07114823786851127,0.08637941527787839,0.8236712142543549
46,2026-04-16 07:47:42.918058+00:00,2026-04-16 13:45:15.717301+00:00,2026-04,2026-04,False,0.05460324196132172,original,0.06930964274961647,0.08261790690556876,0.8389179216176044,0.06417761637294545,0.08630899849957178,0.7435796671104213,0.0682480871382665,0.09082935810719261,0.751387971471991
47,2026-04-16 13:45:15.717301+00:00,2026-04-16 19:15:27.650218+00:00,2026-04,2026-04,False,0.05236512580782081,original,0.06464862106206053,0.07949514079581135,0.8132399089412884,0.07211232415291906,0.09791143141432745,0.7365056675329823,0.07172606469356987,0.08273120640301007,0.8669771397285004
48,2026-04-16 19:15:27.650218+00:00,2026-04-17 02:35:07.339264+00:00,2026-04,2026-04,False,0.049066216275657715,original,0.06323483230656259,0.07814301266552248,0.8092192782127334,0.07735459159819193,0.09843493932798937,0.7858448649055714,0.08119474696127789,0.08945208946878311,0.9076897749785168
49,2026-04-17 02:35:07.339264+00:00,2026-04-17 07:48:05.814455+00:00,2026-04,2026-04,False,0.052332674864335314,original,0.07249162509086561,0.09246555395635908,0.7839851922055152,0.07308311829986866,0.08496128495815204,0.8601931848825731,0.08203622452934918,0.09886327124038112,0.8297947609874469
